COHORT_ID,ACTOR_ID,SESSION_KEY,REQUEST_KEY,EVENT_KEY,REQUEST_TS,LATENCY_MS,ITEM_COUNT,INPUT_TEXT,ENGAGED_POSITIONS,ORDERED_POSITIONS,ORDER_VALUE,ALT_FLOW_STATUS,NORMALIZED_TEXT,TRIGGER_MODE
Baseline,57bdc362-2ad1-49df-833d-6ba10848160f,ba0d80b5dfb2d1abad2e048a7a240d73,f74de95b-5055-4175-b564-a0dd35ed7a00,8b7fae7f50b534349124154a8b3778b7,2026-02-12 17:08:17.151676-05:00,80,19,tile windwo,,,,no_aux_response,tile windwo,inlineSuggest
Alternate,35740aa6-3af1-4be0-b5dc-881c26c067d7,b0f597fc483e1be364eeaa94745c29c7,6163f4dd-d8aa-4041-9962-b3c75a9cf562,b1a71ad871cccc1849bf13f1150157f3,2026-02-12 17:36:48.063696-05:00,96,207,plani plumbing,,,,warm_store_hit,plani plumbing,inlineSuggest
Alternate,35740aa6-3af1-4be0-b5dc-881c26c067d7,b0f597fc483e1be364eeaa94745c29c7,32249474-c1f3-4f06-ba20-8941d5f6e787,bf82996d8d84ac451ee8483136d70e02,2026-02-12 17:36:48.210713-05:00,169,13,cannon carbon 4.8,,,,fresh_compute_saved,cannon carbon 4.8,resultsPage
Alternate,35740aa6-3af1-4be0-b5dc-881c26c067d7,b0f597fc483e1be364eeaa94745c29c7,befbb772-f994-4577-9959-146e42f745ea,e43980bbb86e36ec382d77fdb7678eb6,2026-02-12 17:36:49.912113-05:00,152,11,cannon carb,,,,fresh_compute_saved,cannon carb,inlineSuggest
Baseline,8f40c61f-4897-4a10-8b36-a9c2371948cf,e00a689069d3aef64f6d1813aaf893e1,c7c71cf2-14e7-4cca-818b-53e3c5ba2a28,5566f9e8a620d3ae16ea1a0e9478bf50,2026-02-12 19:38:44.397555-05:00,40,10,painting,,,,no_aux_response,painting,inlineSuggest
Baseline,cc6c8721-7905-4161-9c80-baa7f6af7f0d,8835415f58b783a296f0168c22772aa8,6ce3698f-9aac-4f68-b019-c0ea6b82527a,fd4ae586249a4363f68993a9f691f184,2026-02-12 19:56:57.057070-05:00,82,51,doorway plumbing,,,,no_aux_response,doorway plumbing,resultsPage
Baseline,cc6c8721-7905-4161-9c80-baa7f6af7f0d,8835415f58b783a296f0168c22772aa8,4969dab8-2eae-4e91-acaa-586e4c85a6dd,93918cb284a83f350403de51ac519376,2026-02-12 19:56:58.903890-05:00,84,15,trumpe,,,,no_aux_response,trumpe,inlineSuggest
Baseline,cc6c8721-7905-4161-9c80-baa7f6af7f0d,8835415f58b783a296f0168c22772aa8,880d85d2-0e10-41fd-8eba-a36de596fd93,b8443534f6925377484439abbc4ca4df,2026-02-12 19:56:59.686374-05:00,56,16,trumpet va,,,,no_aux_response,trumpet va,inlineSuggest
Alternate,d7ab76cb-4f4a-4e02-814c-1be80b1a9f8c,70b5b05bdafd0f56d639b7b2b85dd67a,8222f570-e4ff-492a-a228-4fee6ba62d80,f0ac465a65e610f7419909310adec3dc,2026-02-12 21:50:52.373268-05:00,131,49,10x40 painting,"[5, 1]",,,warm_store_hit,10x40 painting,resultsPage
Alternate,d7ab76cb-4f4a-4e02-814c-1be80b1a9f8c,70b5b05bdafd0f56d639b7b2b85dd67a,9a6e1cda-b48d-445c-a1fd-008bb6807cb3,53421870ca265e2d221a1d64cbdaa04d,2026-02-12 21:50:54.096326-05:00,148,31,songue,,,,fresh_compute_saved,songue,inlineSuggest
